[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
mpmath                                    1.3.0        python  
multidict                                 6.7.0        python  
multiprocess                              0.70.18      python  
my-test-package                           1.0          python  
mypy-extensions                           1.1.0        python  
networkx                                  3.6.1        python  
numpy                                     2.3.5        python  
nvidia-cublas-cu12                        12.8.4.1     python  
nvidia-cuda-cupti-cu12                    12.8.90      python  
nvidia-cuda-nvrtc-cu12                    12.8.93      python  
nvidia-cuda-runtime-cu12                  12.8.90      python  
nvidia-cudnn-cu12                         9.10.2.21    python  
nvidia-cufft-cu12                         11.3.3.83    python  
nvidia-cufile-cu12                        1.13.1.3     python  
nvidia-curand-cu12                        10.3.9.90    python  
nvidia-cusolver-cu12                      11.7.3.90    python  
nvidia-cusparse-cu12                      12.5.8.93    python  
nvidia-cusparselt-cu12                    0.7.1        python  
nvidia-nccl-cu12                          2.27.5       python  
nvidia-nvjitlink-cu12                     12.8.93      python  
nvidia-nvshmem-cu12                       3.3.20       python  
nvidia-nvtx-cu12                          12.8.90      python  
oauthlib                                  3.3.1        python  
onnxruntime                               1.23.2       python  
openai                                    2.14.0       python  
opentelemetry-api                         1.39.1       python  
opentelemetry-exporter-otlp-proto-common  1.39.1       python  
opentelemetry-exporter-otlp-proto-grpc    1.39.1       python  
opentelemetry-proto                       1.39.1       python  
opentelemetry-sdk                         1.39.1       python  
opentelemetry-semantic-conventions        0.60b1       python  
optimum                                   2.1.0        python  
orjson                                    3.11.5       python  
ormsgpack                                 1.12.0       python  
overrides                                 7.7.0        python  
packaging                                 24.2         python  
packaging                                 25.0         python  
pandas                                    3.0.1        python  
pillow                                    12.1.0       python  
pip                                       25.1.1       python  
platformdirs                              4.2.2        python  
posthog                                   5.4.0        python  
propcache                                 0.4.1        python  
protobuf                                  6.33.2       python  
psutil                                    7.2.1        python  
pyarrow                                   23.0.1       python  
pyasn1                                    0.6.1        python  
pyasn1-modules                            0.4.2        python  
pybase64                                  1.4.3        python  
pydantic                                  2.12.5       python  
pydantic-core                             2.41.5       python  
pydantic-settings                         2.12.0       python  
pygments                                  2.19.2       python  
pyparsing                                 3.3.2        python  
pypika                                    0.48.9       python  
pyproject-hooks                           1.2.0        python  
python-dateutil                           2.9.0.post0  python  
python-dotenv                             1.2.1        python  
pyyaml                                    6.0.3        python  
referencing                               0.37.0       python  
regex                                     2025.11.3    python  
requests                                  2.32.5       python  
requests-oauthlib                         2.0.0        python  
requests-toolbelt                         1.0.0        python  
rich                                      14.2.0       python  
rpds-py                                   0.30.0       python  
rsa                                       4.9.1        python  
safetensors                               0.7.0        python  
scikit-learn                              1.8.0        python  
scipy                                     1.16.3       python  
sentence-transformers                     5.2.0        python  
setuptools                                80.9.0       python  
shellingham                               1.5.4        python  
six                                       1.17.0       python  
sniffio                                   1.3.1        python  
sqlalchemy                                2.0.45       python  
sympy                                     1.14.0       python  
tenacity                                  9.1.2        python  
threadpoolctl                             3.6.0        python  
tiktoken                                  0.12.0       python  
tokenizers                                0.22.2       python  
tomli                                     2.0.1        python  
torch                                     2.9.1        python  
tqdm                                      4.67.1       python  
transformers                              5.2.0        python  
triton                                    3.5.1        python  
typeguard                                 4.3.0        python  
typer                                     0.24.0       python  
typer-slim                                0.24.0       python  
typing-extensions                         4.12.2       python  
typing-extensions                         4.15.0       python  
typing-inspect                            0.9.0        python  
typing-inspection                         0.4.2        python  
urllib3                                   2.3.0        python  
uuid-utils                                0.12.0       python  
uvicorn                                   0.38.0       python  
uvloop                                    0.22.1       python  
watchfiles                                1.1.1        python  
websocket-client                          1.9.0        python  
websockets                                15.0.1       python  
wheel                                     0.45.1       python  
xxhash                                    3.6.0        python  
yarl                                      1.22.0       python  
zipp                                      3.19.2       python  
zipp                                      3.23.0       python  
zstandard                                 0.25.0       python
